New Terminal Output:

root@cffa7beb3964:/app# cat >> /app/analyze_deps.py << 'ENDOFFILE'
>
>
> def check_refs_defined(tree, filepath, imports_info, wildcard_exports, project_dir, file_asts):
              name = node.id
                if name in BUILTIN_NAMES or name in special_names:
                    return
                i>     module_names = get_module_level_names(tree, imports_info, wildcard_exports)
>     special_names = {
>         "__name__", "__file__", "__doc__", "__spec__",
>         "__loader__", "__package__", "__builtins__",
>         "__all__", "__path__", "__cached__", "__annotations__",
>     }
>
>     class RefChecker(ast.NodeVisitor):
>         def __init__(self):
>             self.scope_stack = [module_names.copy()]
>             self.comp_vars_stack = [set()]
>             self.errors = []
>             self.reported = set()
>
>         def _visible(self):
>             names = set()
>             for s in self.scope_stack:
>                 names.update(s)
>             for c in self.comp_vars_stack:
>                 names.update(c)
>             return names
>
>         def visit_FunctionDef(self, node):
>             for dec in node.decorator_list:
>                 self.visit(dec)
>             for d in node.args.defaults:
>                 self.visit(d)
>             for d in node.args.kw_defaults:
>                 if d:
>                     self.visit(d)
>             if node.returns:
>                 self.visit(node.returns)
>             for a in node.args.args + node.args.posonlyargs + node.args.kwonlyargs:
>                 if a.annotation:
>                     self.visit(a.annotation)
>             func_names = get_function_params(node)
>             func_names.update(_get_local_names_in_body(node.body))
>             self.scope_stack.append(func_names)
>             for child in node.body:
>                 self.visit(child)
>             self.scope_stack.pop()
>
>         visit_AsyncFunctionDef = visit_FunctionDef
>
>         def visit_ClassDef(self, node):
>             for dec in node.decorator_list:
>                 self.visit(dec)
>             for base in node.bases:
>                 self.visit(base)
>             for kw in node.keywords:
>                 self.visit(kw.value)
>             class_names = set()
>             for child in ast.iter_child_nodes(node):
>                 if isinstance(child, (ast.FunctionDef, ast.AsyncFunctionDef)):
>                     class_names.add(child.name)
>                 elif isinstance(child, ast.ClassDef):
>                     class_names.add(child.name)
>                 elif isinstance(child, ast.Assign):
>                     for t in child.targets:
>                         _collect_assigned_names(t, class_names)
>                 elif isinstance(child, ast.AnnAssign) and child.target:
>                     _collect_assigned_names(child.target, class_names)
>             self.scope_stack.append(class_names)
>             for child in node.body:
>                 self.visit(child)
>             self.scope_stack.pop()
>
>         def _visit_comp(self, node):
>             new_cv = set()
>             for gen in node.generators:
>                 self.visit(gen.iter)
>                 _collect_assigned_names(gen.target, new_cv)
>                 self.comp_vars_stack.append(new_cv)
>                 for if_ in gen.ifs:
>                     self.visit(if_)
>             if isinstance(node, ast.DictComp):
>                 self.visit(node.key)
>                 self.visit(node.value)
>             else:
>                 self.visit(node.elt)
>             for _ in node.generators:
>                 self.comp_vars_stack.pop()
>
>         def visit_ListComp(self, node):
>             self._visit_comp(node)
>         def visit_SetComp(self, node):
>             self._visit_comp(node)
>         def visit_GeneratorExp(self, node):
>             self._visit_comp(node)
>         def visit_DictComp(self, node):
>             self._visit_comp(node)
>
>         def visit_Lambda(self, node):
>             for d in node.args.defaults:
>                 self.visit(d)
>             for d in node.args.kw_defaults:
>                 if d:
>                     self.visit(d)
>             lnames = get_function_params(node)
>             self.scope_stack.append(lnames)
>             self.visit(node.body)
>             self.scope_stack.pop()
>
>         def visit_Name(self, node):
>             if isinstance(node.ctx, ast.Load):
>                 name = node.id
>                 if name in BUILTIN_NAMES or name in special_names:
>                     return
>                 if name in self._visible():
>                     return
>                 if name not in self.reported:
>                     self.reported.add(name)
>                     self.errors.append(name)
>             self.generic_visit(node)
>
>         def visit_ExceptHandler(self, node):
>             if node.type:
>                 self.visit(node.type)
>             hn = set()
>             if node.name:
>                 hn.add(node.name)
>             if hn:
>                 self.scope_stack.append(hn)
>             for child in node.body:
>                 self.visit(child)
>             if hn:
>                 self.scope_stack.pop()
>
>     checker = RefChecker()
>     checker.visit(tree)
>     return checker.errors
> ENDOFFILE
root@cffa7beb3964:/app#
